algorithm,size,input_type,run_count,avg_time,min_time,max_time,avg_comparisons,avg_moves,avg_recursive_calls,valid
Bubble Sort,2000,sortat_descrescator,3,0.49503390000002884,0.4878520000002027,0.5041720999997779,1999000,1998987,0,True
Quick Sort,2000,sortat_descrescator,3,0.006624233333544301,0.0046742000013182405,0.009934699999575969,29092,37942,2047,True
Merge Sort,2000,sortat_descrescator,3,0.00630516666691013,0.005617000000711414,0.0076176000002305955,11092,21952,3999,True
Bubble Sort,2000,multe_duplicate,3,0.36241300000013627,0.3613970000005793,0.3643489000005502,1985305,938762,0,True
Quick Sort,2000,multe_duplicate,3,0.0017092999999780052,0.00166700000045239,0.0017852999990282115,12482,15452,23,True
Merge Sort,2000,multe_duplicate,3,0.0070613333336950745,0.006668600000921288,0.007400000000416185,18981,21952,3999,True
Bubble Sort,2000,aproape_sortat,3,0.2592654666659655,0.25282139999944775,0.26997469999878376,1985634,112900,0,True
Quick Sort,2000,aproape_sortat,3,0.005149966667280144,0.004976300000635092,0.005257900000287918,29598,39090,2451,True
Merge Sort,2000,aproape_sortat,3,0.007048566666829477,0.006511999999929685,0.007584799999676761,17091,21952,3999,True
Bubble Sort,5000,aleator,3,2.448296200000186,2.4004260000001523,2.512992600000871,12480295,6246304,0,True
Quick Sort,5000,aleator,3,0.0237621333332451,0.02190159999918251,0.02612340000086988,113877,152690,6491,True
Merge Sort,5000,aleator,3,0.02017320000049949,0.019359200001417776,0.020948499999576597,55200,61808,9999,True
Bubble Sort,5000,sortat_crescator,3,0.0005924999998872712,0.0005731000001105713,0.0006078999995224876,4999,0,0,True
Quick Sort,5000,sortat_crescator,3,0.01423116666652883,0.013947299999927054,0.01438859999871056,82285,109118,5785,True
Merge Sort,5000,sortat_crescator,3,0.018313466667071527,0.015827299999727984,0.021016300001065247,29804,61808,9999,True
Bubble Sort,5000,sortat_descrescator,3,3.262828866666799,3.102839099999983,3.4955110999999306,12497500,12497390,0,True
Quick Sort,5000,sortat_descrescator,3,0.01444679999985965,0.013688699998965603,0.014855000001261942,84356,109088,5771,True
Merge Sort,5000,sortat_descrescator,3,0.016410700000051293,0.016076300000349875,0.01680789999954868,32056,61808,9999,True
Bubble Sort,5000,multe_duplicate,3,2.2835517000003165,2.2534881999999925,2.308964100000594,12379159,5759265,0,True
Quick Sort,5000,multe_duplicate,3,0.003546200000225023,0.0034515000006649643,0.0037248999997245846,26118,31202,23,True
Merge Sort,5000,multe_duplicate,3,0.018200466666409437,0.018035799999779556,0.018362799999522395,53681,61808,9999,True
Bubble Sort,5000,aproape_sortat,3,1.7191439333334226,1.6924089000003733,1.770246699999916,12413655,796808,0,True
Quick Sort,5000,aproape_sortat,3,0.01639010000023215,0.014150099999824306,0.019935199999963515,83822,110718,6005,True
Merge Sort,5000,aproape_sortat,3,0.01794519999990977,0.017367799999192357,0.018981900000653695,48447,61808,9999,True
